condition,seed,run_source,formal_dp,target_epsilon,actual_epsilon,delta,split,threshold_policy,threshold,accuracy,precision,recall,f1,fnr,fpr,roc_auc,pr_auc,tn,fp,fn,tp
non_private,52,trained_experiment_06,False,,,,KDDTest+,default_0_5,0.5,0.7818488289567069,0.9238513441148121,0.6721733032026805,0.7781686964366261,0.3278266967973194,0.0732159406858202,0.9267642753708891,0.9424039830380523,9000,711,4207,8626
non_private,52,trained_experiment_06,False,,,,KDDTest+,validation_selected_F2,0.14,0.8029630943931867,0.9211926513402269,0.7150315592612795,0.8051241554795121,0.28496844073872046,0.08083616517351457,0.9267642753708891,0.9424039830380523,8926,785,3657,9176
dp_eps_4,52,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,target_validation,default_0_5,0.5,0.9823767563705644,0.991119623889953,0.9708340440047757,0.9808719627778735,0.02916595599522429,0.007573507573507573,0.9964466850020323,0.9970432092914531,6683,51,171,5692
dp_eps_4,52,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,default_0_5,0.5,0.7355837473385379,0.9138761744158034,0.591210161302891,0.7179559971611071,0.408789838697109,0.07362784471218206,0.8183384804886786,0.8888781070769787,8996,715,5246,7587
dp_eps_4,52,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.7991039744499645,0.9158653846153846,0.7125379879996883,0.8015076478064601,0.2874620120003117,0.08649984553599012,0.8183384804886786,0.8888781070769787,8871,840,3689,9144
dp_eps_2,52,trained_experiment_06,True,2.0,1.9990375327333947,1.134031140495118e-05,target_validation,default_0_5,0.5,0.9807096927839962,0.9912587412587412,0.9670816987890158,0.9790209790209791,0.03291830121098414,0.007425007425007425,0.9960175213458516,0.9966991222563102,6684,50,193,5670
dp_eps_2,52,trained_experiment_06,True,2.0,1.9990375327333947,1.134031140495118e-05,KDDTest+,default_0_5,0.5,0.7356724627395316,0.9142960462873674,0.5910543130990416,0.7179705617871173,0.40894568690095845,0.0732159406858202,0.8247416815218764,0.892524675841981,9000,711,5248,7585
dp_eps_2,52,trained_experiment_06,True,2.0,1.9990375327333947,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.7981724627395316,0.9162729922605287,0.7103561131457959,0.800280923536125,0.289643886854204,0.08577901348985686,0.8247416815218764,0.892524675841981,8878,833,3717,9116
non_private,62,trained_experiment_06,False,,,,target_validation,default_0_5,0.5,0.9944431213781059,0.9933571793561574,0.994712604468702,0.9940344298619397,0.00528739553129797,0.005791505791505791,0.9998008431404304,0.9997835343577413,6695,39,31,5832
non_private,62,trained_experiment_06,False,,,,KDDTest+,default_0_5,0.5,0.8188431511710433,0.9628610729023384,0.7091093275150004,0.816729492012206,0.2908906724849996,0.03614457831325301,0.9263459238091657,0.946620934844928,9360,351,3733,9100
non_private,62,trained_experiment_06,False,,,,KDDTest+,validation_selected_F2,0.24000000000000002,0.8339247693399574,0.9583459404942007,0.74043481648874,0.8354141023386671,0.25956518351126,0.042529090721861805,0.9263459238091657,0.946620934844928,9298,413,3331,9502
dp_eps_4,62,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,target_validation,default_0_5,0.5,0.9808684607446218,0.9916054564533053,0.9670816987890158,0.9791900526724808,0.03291830121098414,0.007128007128007128,0.9968619307268464,0.9972298261069878,6686,48,193,5670
dp_eps_4,62,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,default_0_5,0.5,0.7382452093683464,0.9152887610831536,0.5952622146029767,0.7213749468813447,0.4047377853970233,0.07280403665945835,0.8380959796563769,0.8945171843072204,9004,707,5194,7639
dp_eps_4,62,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.8033623136976579,0.9127358490566038,0.7237590586768488,0.8073362597244557,0.27624094132315125,0.0914426938523324,0.8380959796563769,0.8945171843072204,8823,888,3545,9288
dp_eps_2,62,trained_experiment_06,True,2.0,1.9990375327333947,1.134031140495118e-05,target_validation,default_0_5,0.5,0.9798364690005557,0.9917587234788707,0.9646938427426233,0.9780390800622514,0.03530615725737677,0.00697950697950698,0.9965932601955116,0.9970046129759351,6687,47,207,5656
dp_eps_2,62,trained_experiment_06,True,2.0,1.9990375327333947,1.134031140495118e-05,KDDTest+,default_0_5,0.5,0.7357611781405252,0.9148166023166023,0.5908205407932674,0.7179584299985796,0.40917945920673265,0.07270106065286788,0.8351637111878732,0.8935906151562036,9005,706,5251,7582
dp_eps_2,62,trained_experiment_06,True,2.0,1.9990375327333947,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.8007008516678495,0.9175010012014417,0.7140964700381828,0.8031199333946804,0.28590352996181717,0.08485222943054269,0.8351637111878732,0.8935906151562036,8887,824,3669,9164
non_private,72,trained_experiment_06,False,,,,target_validation,default_0_5,0.5,0.9949194252599826,0.9953869810353665,0.9936892375916766,0.99453738477296,0.006310762408323384,0.004009504009504009,0.9998364041516011,0.9998186844389672,6707,27,37,5826
