reference_condition,comparison_condition,seed,domain,threat_model,metric,reference_value,comparison_value,difference_dp_minus_non_private
non_private,dp_eps_4,82,MIA,score_only_black_box,mia_advantage,0.009684845598158298,0.010954989283162686,0.001270143685004388
non_private,dp_eps_4,82,MIA,score_only_black_box,mia_balanced_accuracy,0.49980154004921806,0.5011510677145352,0.0013495276653171517
non_private,dp_eps_4,82,MIA,score_only_black_box,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,82,MIA,score_only_black_box,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,82,MIA,label_aware_audit,mia_auc,0.499024655282927,0.5020128505504281,0.0029881952675011036
non_private,dp_eps_4,82,MIA,label_aware_audit,mia_advantage,0.00889100579503066,0.010796221322537103,0.001905215527506443
non_private,dp_eps_4,82,MIA,label_aware_audit,mia_balanced_accuracy,0.5038501230451695,0.5005556878621894,-0.0032944351829801155
non_private,dp_eps_4,82,MIA,label_aware_audit,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,82,MIA,label_aware_audit,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,42,IDS,,recall,0.7080183900880542,0.6850307800202603,-0.02298761006779393
non_private,dp_eps_2,42,IDS,,fnr,0.2919816099119457,0.3149692199797397,0.022987610067793984
non_private,dp_eps_2,42,IDS,,f1,0.814595660749507,0.7841755497078632,-0.03042011104164377
non_private,dp_eps_2,42,IDS,,fpr,0.0400576665636906,0.0820718772526001,0.042014210688909495
non_private,dp_eps_2,42,IDS,,precision,0.9589445910290236,0.916875260742595,-0.042069330286428674
non_private,dp_eps_2,42,IDS,,pr_auc,0.935713551393365,0.895967351762364,-0.03974619963100101
non_private,dp_eps_2,42,IDS,,threshold,0.29,0.03,-0.26
non_private,dp_eps_2,42,MIA,score_only_black_box,mia_auc,0.5017771153560524,0.5029159922068966,0.0011388768508442393
non_private,dp_eps_2,42,MIA,score_only_black_box,mia_advantage,0.008970389775343368,0.01174882908629038,0.002778439310947012
non_private,dp_eps_2,42,MIA,score_only_black_box,mia_balanced_accuracy,0.5020242914979758,0.5008732237834405,-0.0011510677145353254
non_private,dp_eps_2,42,MIA,score_only_black_box,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,42,MIA,score_only_black_box,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,42,MIA,label_aware_audit,mia_auc,0.5014386384991358,0.5016083243565534,0.00016968585741761189
non_private,dp_eps_2,42,MIA,label_aware_audit,mia_advantage,0.005636262602206843,0.011193141224100978,0.005556878621894135
non_private,dp_eps_2,42,MIA,label_aware_audit,mia_balanced_accuracy,0.5000396919901564,0.5032547431928237,0.003215051202667296
non_private,dp_eps_2,42,MIA,label_aware_audit,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,42,MIA,label_aware_audit,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,52,IDS,,recall,0.7150315592612795,0.7103561131457959,-0.004675446115483539
non_private,dp_eps_2,52,IDS,,fnr,0.28496844073872046,0.289643886854204,0.004675446115483539
non_private,dp_eps_2,52,IDS,,f1,0.8051241554795121,0.800280923536125,-0.004843231943387094
non_private,dp_eps_2,52,IDS,,fpr,0.08083616517351457,0.08577901348985686,0.004942848316342299
non_private,dp_eps_2,52,IDS,,precision,0.9211926513402269,0.9162729922605287,-0.004919659079698158
non_private,dp_eps_2,52,IDS,,pr_auc,0.9424039830380523,0.892524675841981,-0.049879307196071254
non_private,dp_eps_2,52,IDS,,threshold,0.14,0.02,-0.12000000000000001
non_private,dp_eps_2,52,MIA,score_only_black_box,mia_auc,0.5047815346496959,0.5036694121600819,-0.0011121224896140092
non_private,dp_eps_2,52,MIA,score_only_black_box,mia_advantage,0.013495276653171406,0.011986981027228727,-0.0015082956259426794
non_private,dp_eps_2,52,MIA,score_only_black_box,mia_balanced_accuracy,0.501031991744066,0.5013495276653172,0.00031753592125116636
non_private,dp_eps_2,52,MIA,score_only_black_box,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,52,MIA,score_only_black_box,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,52,MIA,label_aware_audit,mia_auc,0.502346333217903,0.5015533693672451,-0.0007929638506578573
non_private,dp_eps_2,52,MIA,label_aware_audit,mia_advantage,0.011828213066603144,0.011986981027228727,0.00015876796062558318
non_private,dp_eps_2,52,MIA,label_aware_audit,mia_balanced_accuracy,0.5011510677145352,0.4998809240295309,-0.0012701436850043324
non_private,dp_eps_2,52,MIA,label_aware_audit,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,52,MIA,label_aware_audit,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,62,IDS,,recall,0.74043481648874,0.7140964700381828,-0.026338346450557215
non_private,dp_eps_2,62,IDS,,fnr,0.25956518351126,0.28590352996181717,0.02633834645055716
non_private,dp_eps_2,62,IDS,,f1,0.8354141023386671,0.8031199333946804,-0.032294168943986734
non_private,dp_eps_2,62,IDS,,fpr,0.042529090721861805,0.08485222943054269,0.04232313870868088
non_private,dp_eps_2,62,IDS,,precision,0.9583459404942007,0.9175010012014417,-0.04084493929275901
non_private,dp_eps_2,62,IDS,,pr_auc,0.946620934844928,0.8935906151562036,-0.0530303196887244
non_private,dp_eps_2,62,IDS,,threshold,0.24000000000000002,0.03,-0.21000000000000002
non_private,dp_eps_2,62,MIA,score_only_black_box,mia_auc,0.5005401790922005,0.503180265176524,0.002640086084323534
non_private,dp_eps_2,62,MIA,score_only_black_box,mia_advantage,0.007223942208462342,0.010875605302849867,0.003651663094387525
non_private,dp_eps_2,62,MIA,score_only_black_box,mia_balanced_accuracy,0.49980154004921806,0.5014289116456299,0.0016273715964117974
non_private,dp_eps_2,62,MIA,score_only_black_box,tpr_at_1pct_fpr,0.0014289116456299119,0.0,-0.0014289116456299119
non_private,dp_eps_2,62,MIA,score_only_black_box,tpr_at_5pct_fpr,0.02754624116853219,0.0,-0.02754624116853219
non_private,dp_eps_2,62,MIA,label_aware_audit,mia_auc,0.5002335705204662,0.5004795430154704,0.000245972495004132
non_private,dp_eps_2,62,MIA,label_aware_audit,mia_advantage,0.008017782011590091,0.010875605302849867,0.0028578232912597756
non_private,dp_eps_2,62,MIA,label_aware_audit,mia_balanced_accuracy,0.5000793839803128,0.5015082956259427,0.00142891164562986
non_private,dp_eps_2,62,MIA,label_aware_audit,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,62,MIA,label_aware_audit,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,72,IDS,,recall,0.7048235019091404,0.697031091716668,-0.007792410192472454
non_private,dp_eps_2,72,IDS,,fnr,0.2951764980908595,0.30296890828333206,0.007792410192472565
non_private,dp_eps_2,72,IDS,,f1,0.7981821390751853,0.7920134584735258,-0.0061686806016595375
non_private,dp_eps_2,72,IDS,,fpr,0.08093914118010503,0.08341056533827618,0.0024714241581711427
