condition,seed,run_source_ids,formal_dp_ids,target_epsilon_ids,actual_epsilon_ids,delta_ids,split,threshold_policy,threshold,accuracy,precision,recall,f1,fnr,fpr,roc_auc,pr_auc,tn,fp,fn,tp,subset,threat_model,attack_model,feature_set,n,members,nonmembers,mia_auc,mia_advantage,mia_balanced_accuracy,mia_precision,mia_recall,tpr_at_1pct_fpr,tpr_at_5pct_fpr,operating_threshold,shadow_calibration_auc,analysis_role,run_source_mia,formal_dp_mia,target_epsilon_mia,actual_epsilon_mia,delta_mia,noise_multiplier
dp_eps_2,62,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.8007008516678495,0.9175010012014416,0.7140964700381828,0.8031199333946804,0.2859035299618171,0.0848522294305426,0.8351637111878732,0.8935906151562036,8887,824,3669,9164,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.503180265176524,0.0108756053028498,0.5014289116456299,0.5014126510751844,0.5071842502183059,0.0,0.0,0.4998017801421607,0.5018781072656153,primary,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
dp_eps_2,62,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.8007008516678495,0.9175010012014416,0.7140964700381828,0.8031199333946804,0.2859035299618171,0.0848522294305426,0.8351637111878732,0.8935906151562036,8887,824,3669,9164,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5004795430154704,0.0108756053028498,0.5015082956259427,0.5019995790359925,0.3786615860919266,0.0,0.0,-1.6808652e-05,0.4970485139461295,primary,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
non_private,72,trained_experiment_06,False,,,,KDDTest+,validation_selected_F2,0.23,0.7971078779276083,0.9200488251449496,0.7048235019091404,0.7981821390751853,0.2951764980908595,0.080939141180105,0.902493188501869,0.9257613601934483,8925,786,3788,9045,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5027829388078069,0.0077002460903389,0.4993252361673415,0.4993719057119633,0.5364769389537192,0.0,0.0,0.4998595690083396,0.5009336124463495,primary,trained_experiment_06,False,,,,
non_private,72,trained_experiment_06,False,,,,KDDTest+,validation_selected_F2,0.23,0.7971078779276083,0.9200488251449496,0.7048235019091404,0.7981821390751853,0.2951764980908595,0.080939141180105,0.902493188501869,0.9257613601934483,8925,786,3788,9045,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5013666402475621,0.0049218067793919,0.4999603080098436,0.4999681751638979,0.623561165356831,0.0,0.0,-1.4543639e-05,0.4997894100157125,primary,trained_experiment_06,False,,,,
dp_eps_4,72,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.796930447125621,0.9118028534370948,0.7121483674900647,0.7997024851242562,0.2878516325099353,0.0910307898259705,0.8089618823715501,0.8812880448822493,8827,884,3694,9139,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5032602856402862,0.0095260776375327,0.5009922997539097,0.5009820095844135,0.5062316424545527,0.0,0.0,0.4998558078738151,0.501753946133048,primary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,72,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.796930447125621,0.9118028534370948,0.7121483674900647,0.7997024851242562,0.2878516325099353,0.0910307898259705,0.8089618823715501,0.8812880448822493,8827,884,3694,9139,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5014232242563919,0.0096848455981582,0.4995633881082797,0.4994801020890443,0.4194649519726919,0.0,0.0,-7.5102134e-06,0.4981167004499127,primary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_2,72,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.7916075230660042,0.9169656586365966,0.697031091716668,0.7920134584735258,0.302968908283332,0.0834105653382761,0.8091611461199841,0.8797995670285138,8901,810,3888,8945,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5033345556966469,0.0103993014209732,0.5007541478129713,0.5007420135905647,0.508930697785187,0.0,0.0,0.4998017801421607,0.5018781072656153,primary,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
dp_eps_2,72,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.7916075230660042,0.9169656586365966,0.697031091716668,0.7920134584735258,0.302968908283332,0.0834105653382761,0.8091611461199841,0.8797995670285138,8901,810,3888,8945,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5015296965942003,0.0103993014209732,0.4994840041279669,0.4993967517401392,0.4271651980630309,0.0,0.0,-1.6808652e-05,0.4970485139461295,primary,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
non_private,82,trained_experiment_06,False,,,,KDDTest+,validation_selected_F2,0.13,0.8013662171753017,0.9612454455117588,0.6784072313566586,0.7954317039744175,0.3215927686433414,0.036144578313253,0.913097033048044,0.9370215482963912,9360,351,4127,8706,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5016010741168655,0.0096848455981582,0.499801540049218,0.4998100448294202,0.52218782249742,0.0,0.0,0.4998595690083396,0.5009336124463495,primary,trained_experiment_06,False,,,,
non_private,82,trained_experiment_06,False,,,,KDDTest+,validation_selected_F2,0.13,0.8013662171753017,0.9612454455117588,0.6784072313566586,0.7954317039744175,0.3215927686433414,0.036144578313253,0.913097033048044,0.9370215482963912,9360,351,4127,8706,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.499024655282927,0.0088910057950306,0.5038501230451695,0.5033455197627096,0.5792649043423037,0.0,0.0,-1.4543639e-05,0.4997894100157125,primary,trained_experiment_06,False,,,,
dp_eps_4,82,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.04,0.789611426543648,0.9185637417218544,0.6917322527857866,0.7891718895852781,0.3082677472142133,0.0810421171866955,0.8227535537013454,0.8909595366750724,8924,787,3956,8877,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5031040951225397,0.0109549892831626,0.5011510677145352,0.501130604288499,0.5102008414701913,0.0,0.0,0.4998558078738151,0.501753946133048,primary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,82,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.04,0.789611426543648,0.9185637417218544,0.6917322527857866,0.7891718895852781,0.3082677472142133,0.0810421171866955,0.8227535537013454,0.8909595366750724,8924,787,3956,8877,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5020128505504281,0.0107962213225371,0.5005556878621894,0.5007085020242915,0.3927125506072874,0.0,0.0,-7.5102134e-06,0.4981167004499127,primary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_2,82,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.7928495386799148,0.917544757033248,0.6989012701628614,0.7934359518754424,0.3010987298371386,0.0829986613119143,0.8233874423179293,0.8909929896265916,8905,806,3864,8969,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5032413108713157,0.012225132968167,0.5019052155275066,0.501848998459168,0.5171072477574026,0.0,0.0,0.4998017801421607,0.5018781072656153,primary,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
dp_eps_2,82,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.7928495386799148,0.917544757033248,0.6989012701628614,0.7934359518754424,0.3010987298371386,0.0829986613119143,0.8233874423179293,0.8909929896265916,8905,806,3864,8969,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5021418550325256,0.0120663650075414,0.5002778439310946,0.5003458839806305,0.4019210923235691,0.0,0.0,-1.6808652e-05,0.4970485139461295,primary,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
