reference_condition,comparison_condition,threat_model,subset,metric,n,reference_attack_model,comparison_attack_model,reference_estimate,comparison_estimate,difference_dp_minus_non_private,difference_ci_low,difference_ci_high,supports_measured_reduction,bootstrap_n,target_epsilon,actual_epsilon,delta
non_private,dp_eps_2,label_aware_audit,binary_group=Attack,mia_auc,11726,loss_threshold,loss_threshold,0.5045752889277598,0.5082843174887954,0.00370902856103561,-0.003171645517401897,0.010936764271963616,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,binary_group=Attack,mia_advantage,11726,loss_threshold,loss_threshold,0.01210984137813409,0.024901927340951646,0.012792085962817556,-0.0006166730486723004,0.025658937248282224,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,binary_group=Normal,mia_auc,13468,loss_threshold,loss_threshold,0.49737626215202696,0.4967613780355093,-0.0006148841165176666,-0.009707258285821061,0.008226356319608863,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,binary_group=Normal,mia_advantage,13468,loss_threshold,loss_threshold,0.00579150579150578,0.00757350757350761,0.0017820017820018297,-0.011153634858435233,0.013164382114607595,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,family_group=DoS,mia_auc,9186,loss_threshold,loss_threshold,0.502973575261894,0.5080236687669576,0.00505009350506358,-0.003194105589255544,0.01389195477717345,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,family_group=DoS,mia_advantage,9186,loss_threshold,loss_threshold,0.007620291748312691,0.026344437187023728,0.018724145438711037,0.0035250766093895824,0.033617631872170387,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,family_group=Normal,mia_auc,13468,loss_threshold,loss_threshold,0.49737626215202696,0.4967613780355093,-0.0006148841165176666,-0.00988634409596944,0.007987312915531869,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,family_group=Normal,mia_advantage,13468,loss_threshold,loss_threshold,0.00579150579150578,0.00757350757350761,0.0017820017820018297,-0.01108136694144286,0.012670198904415722,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,family_group=Probe,mia_auc,2332,loss_threshold,loss_threshold,0.5167039827708457,0.5038519928564914,-0.012851989914354323,-0.030640148054344302,0.005892008944467779,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,family_group=Probe,mia_advantage,2332,loss_threshold,loss_threshold,0.036020583190394584,0.02572898799313894,-0.010291595197255643,-0.03995113300088963,0.014978144459188106,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,family_group=Rare,mia_auc,208,loss_threshold,loss_threshold,0.6462185650887574,0.5646264792899408,-0.0815920857988166,-0.14262016816735038,-0.021837345794586998,True,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,family_group=Rare,mia_advantage,208,loss_threshold,loss_threshold,0.24038461538461542,0.14423076923076927,-0.09615384615384615,-0.17721770778275264,0.003703505232631421,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
