condition,subset,threat_model,attack_model,feature_set,n,members,nonmembers,mia_auc,mia_auc_ci_low,mia_auc_ci_high,mia_advantage,mia_advantage_ci_low,mia_advantage_ci_high,mia_balanced_accuracy,mia_precision,mia_recall,tpr_at_1pct_fpr,tpr_at_5pct_fpr,operating_threshold,shadow_calibration_auc,formal_dp,target_epsilon,actual_epsilon,delta
dp_eps_4,family_group=Rare,label_aware_audit,random_forest,loss + correctness,208,104,104,0.5471523668639053,0.46285808404231354,0.6253919907190717,0.11538461538461542,0.05392380914717917,0.2619337613946371,0.514423076923077,0.5194805194805194,0.38461538461538464,0.038461538461538464,0.07692307692307693,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05
dp_eps_2,binary_group=Attack,score_only_black_box,logistic_regression,prob_attack,11726,5863,5863,0.5082843174887954,0.4988776015384269,0.5188413389125426,0.024901927340951646,0.010863683051438266,0.043061817353360725,0.500767525157769,0.5003875635173543,0.9909602592529422,0.0,0.0,0.49980178014216076,0.5018781072656153,True,2.0,1.9990375327333947,1.134031140495118e-05
dp_eps_2,binary_group=Normal,score_only_black_box,logistic_regression,prob_attack,13468,6734,6734,0.5032389748011963,0.4935628518540976,0.5134647979362841,0.015295515295515288,0.007846094419967815,0.032229609555798906,0.500965250965251,0.5057983942908117,0.0841995841995842,0.012474012474012475,0.04855954855954856,0.49980178014216076,0.5018781072656153,True,2.0,1.9990375327333947,1.134031140495118e-05
dp_eps_2,family_group=DoS,score_only_black_box,logistic_regression,prob_attack,9186,4593,4593,0.5080236687669576,0.49669096484992625,0.5186379382445042,0.026344437187023728,0.013388655228507204,0.04662807253171163,0.49989113868930984,0.4999450609823096,0.9906379272806445,0.0,0.0,0.49980178014216076,0.5018781072656153,True,2.0,1.9990375327333947,1.134031140495118e-05
dp_eps_2,family_group=Normal,score_only_black_box,logistic_regression,prob_attack,13468,6734,6734,0.5032389748011963,0.4936993457765477,0.5134271850657998,0.015295515295515288,0.007620402386925849,0.031082068120971133,0.500965250965251,0.5057983942908117,0.0841995841995842,0.012474012474012475,0.04855954855954856,0.49980178014216076,0.5018781072656153,True,2.0,1.9990375327333947,1.134031140495118e-05
dp_eps_2,family_group=Probe,score_only_black_box,logistic_regression,prob_attack,2332,1166,1166,0.5038519928564914,0.4796060063281274,0.5267995357869235,0.02572898799313894,0.012252610635802621,0.06738896392068813,0.5030017152658662,0.501511879049676,0.9957118353344768,0.0,0.0,0.49980178014216076,0.5018781072656153,True,2.0,1.9990375327333947,1.134031140495118e-05
dp_eps_2,family_group=Rare,score_only_black_box,logistic_regression,prob_attack,208,104,104,0.5646264792899408,0.4876054119173385,0.6404090955785667,0.14423076923076927,0.07811355311355311,0.29903127416444714,0.5144230769230769,0.5076923076923077,0.9519230769230769,0.028846153846153848,0.07692307692307693,0.49980178014216076,0.5018781072656153,True,2.0,1.9990375327333947,1.134031140495118e-05
dp_eps_2,binary_group=Attack,label_aware_audit,loss_threshold,loss,11726,5863,5863,0.5082843174887954,0.49823316502571674,0.5179803691647406,0.024901927340951646,0.011398177154621448,0.044752241665521504,0.5108306327818523,0.5076423155614394,0.7194269145488658,0.0,0.0,-1.6808652e-05,0.49704851394612953,True,2.0,1.9990375327333947,1.134031140495118e-05
dp_eps_2,binary_group=Normal,label_aware_audit,loss_threshold,loss,13468,6734,6734,0.4967613780355093,0.48708449962718975,0.5064238195703409,0.00757350757350761,0.0021829062805233993,0.02627113484522107,0.49665874665874665,0.4827586206896552,0.09355509355509356,0.01098901098901099,0.04558954558954559,-1.6808652e-05,0.49704851394612953,True,2.0,1.9990375327333947,1.134031140495118e-05
dp_eps_2,family_group=DoS,label_aware_audit,loss_threshold,loss,9186,4593,4593,0.5080236687669576,0.4977372495312459,0.5180594645665334,0.026344437187023728,0.012062465148386362,0.04824974446811473,0.511430437622469,0.5070422535211268,0.8229915088177662,0.0,0.0,-1.6808652e-05,0.49704851394612953,True,2.0,1.9990375327333947,1.134031140495118e-05
dp_eps_2,family_group=Normal,label_aware_audit,loss_threshold,loss,13468,6734,6734,0.4967613780355093,0.4874508423138957,0.5064878557174264,0.00757350757350761,0.002609398486132958,0.024809383098192663,0.49665874665874665,0.4827586206896552,0.09355509355509356,0.01098901098901099,0.04558954558954559,-1.6808652e-05,0.49704851394612953,True,2.0,1.9990375327333947,1.134031140495118e-05
dp_eps_2,family_group=Probe,label_aware_audit,loss_threshold,loss,2332,1166,1166,0.5038519928564914,0.4789462297189927,0.5273637302872147,0.02572898799313894,0.012621503297828462,0.06870958284281913,0.5094339622641509,0.5128805620608899,0.37564322469982847,0.0,0.0,-1.6808652e-05,0.49704851394612953,True,2.0,1.9990375327333947,1.134031140495118e-05
