condition,formal_dp,actual_epsilon,delta,threat_model,attack_model,metric,estimate,ci_low,ci_high,bootstrap_n
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,score_only_black_box,logistic_regression,mia_advantage,0.012145748987854255,0.004590745805286778,0.024208304441614193,1000
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,score_only_black_box,random_forest,mia_auc,0.5000880426759506,0.49329197042558626,0.5069371296027803,1000
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,score_only_black_box,random_forest,mia_advantage,0.007620862110026216,0.001677524640923006,0.021508388391060975,1000
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,label_aware_audit,loss_threshold,mia_auc,0.5020314314558779,0.4949218687014085,0.5085837468937429,1000
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,label_aware_audit,loss_threshold,mia_advantage,0.011113757243788214,0.0031873098127327792,0.023426220989092823,1000
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,label_aware_audit,logistic_regression,mia_auc,0.5020314314558779,0.49464095534072955,0.5099240057275198,1000
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,label_aware_audit,logistic_regression,mia_advantage,0.011113757243788214,0.00377230991309867,0.0230136660799044,1000
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,label_aware_audit,random_forest,mia_auc,0.4997120605591442,0.49245529345298233,0.5066509646437056,1000
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,label_aware_audit,random_forest,mia_advantage,0.008891005795030549,0.0018699025661804724,0.020429399684228376,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,score_only_black_box,confidence_threshold,mia_auc,0.5016463652708314,0.4949431249510033,0.5086330883104653,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,score_only_black_box,confidence_threshold,mia_advantage,0.012225132968167018,0.0028045560114464715,0.024176830519810566,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,score_only_black_box,logistic_regression,mia_auc,0.5028840672053674,0.4960046813501511,0.5101362495917817,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,score_only_black_box,logistic_regression,mia_advantage,0.01286020481066924,0.004840795558133028,0.02613562033037513,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,score_only_black_box,random_forest,mia_auc,0.5030609465861262,0.49601427880026816,0.510202185389338,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,score_only_black_box,random_forest,mia_advantage,0.01254266888941813,0.005715593541725028,0.024731594093806476,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,label_aware_audit,loss_threshold,mia_auc,0.50166603008869,0.4939076831350602,0.508831406210083,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,label_aware_audit,loss_threshold,mia_advantage,0.012225132968167018,0.003889569926096348,0.02375812781505225,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,label_aware_audit,logistic_regression,mia_auc,0.50166603008869,0.494649528629854,0.5086196019079819,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,label_aware_audit,logistic_regression,mia_advantage,0.012225132968167018,0.003403620597723435,0.024500300523009343,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,label_aware_audit,random_forest,mia_auc,0.5035969507250079,0.49690527093004516,0.5115131108743155,1000
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,label_aware_audit,random_forest,mia_advantage,0.013415892672858698,0.004949357408164052,0.02764709825871214,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,score_only_black_box,confidence_threshold,mia_auc,0.5016036547106528,0.4940641420443254,0.5087106082190275,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,score_only_black_box,confidence_threshold,mia_advantage,0.011272525204413797,0.00325088324699655,0.023440474019334332,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,score_only_black_box,logistic_regression,mia_auc,0.5029159922068966,0.49599576095640313,0.5100713757478378,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,score_only_black_box,logistic_regression,mia_advantage,0.01174882908629038,0.004590214416136715,0.02426482583062481,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,score_only_black_box,random_forest,mia_auc,0.4951362644580918,0.488118542447519,0.5019215204178088,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,score_only_black_box,random_forest,mia_advantage,0.0034928951337620112,0.0021932220248332903,0.012672001301678453,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,label_aware_audit,loss_threshold,mia_auc,0.5016083243565534,0.493911662855753,0.5084787963587285,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,label_aware_audit,loss_threshold,mia_advantage,0.011193141224100978,0.0029342648858812007,0.024212985405050097,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,label_aware_audit,logistic_regression,mia_auc,0.5016083243565534,0.49458416191161186,0.5080185135649493,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,label_aware_audit,logistic_regression,mia_advantage,0.011193141224100978,0.003817825979567842,0.023404196533699993,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,label_aware_audit,random_forest,mia_auc,0.49335113004075903,0.4863216392579739,0.5002401455996364,1000
dp_eps_2,True,1.9990375327333947,1.134031140495118e-05,label_aware_audit,random_forest,mia_advantage,0.003254743192823688,0.002102689173272209,0.011002841588986264,1000
